index,ODDO1,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00
17688,-75.5672178000001,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17689,-74.9782755,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17690,-74.38933320000001,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17691,-73.80039090000002,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17692,-73.21144860000004,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17693,-72.62250630000005,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17694,-72.03356400000007,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17695,-71.44462170000008,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17696,-70.85567939999999,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17697,-70.2667371,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17698,-69.67779480000002,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17699,-69.08885240000006,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17700,-68.49991010000008,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17701,-67.9109678000001,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17702,-67.3220255,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7392304,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17703,-66.73308320000001,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7382320,7363088,7512240,7376224,7376064
17704,-66.14414090000002,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7378896,7363088,7512240,7376224,7376064
17705,-65.55519860000004,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473280,7475696,7426064,7367360,7565728,7528704,7378896,7363088,7512240,7376224,7376064
17706,-64.96625630000005,7532128,7377632,7328688,7490096,7574880,7378208,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7426064,7367360,7565728,7528704,7378896,7363088,7512240,7376224,7376064
17707,-64.37731400000007,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7426064,7367360,7565728,7528704,7378896,7363088,7512240,7376224,7376064
17708,-63.788371700000084,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7565728,7528704,7378896,7363088,7512240,7376224,7376064
17709,-63.199429399999985,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7512240,7376224,7376064
17710,-62.6104871,7532128,7377632,7328688,7490096,7574880,7376144,7379424,7390928,7351808,7446464,7345648,7335152,7498640,7473712,7475696,7425456,7367360,7564320,7528704,7378896,7363088,7512240,7376224,7366016
